Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Harian(ton);Timbulan Sampah Tahunan(ton)
2023;Aceh;Kabupaten Aceh Selatan;96,78;35.323,53
2023;Aceh;Kabupaten Aceh Tenggara;114,15;41.666,21
2023;Aceh;Kabupaten Aceh Timur;179,92;65.670,22
2023;Aceh;Kabupaten Aceh Tengah;109,73;40.050,24
2023;Aceh;Kabupaten Aceh Barat;100,86;36.813,72
2023;Aceh;Kabupaten Aceh Besar;148,09;54.053,29
2023;Aceh;Kabupaten Pidie;177,08;64.634,93
2023;Aceh;Kabupaten Aceh Utara;307,32;112.171,80
2023;Aceh;Kabupaten Simeulue;45,14;16.476,21
2023;Aceh;Kabupaten Aceh Singkil;52,31;19.094,90
2023;Aceh;Kabupaten Bireuen;158,36;57.800,09
2023;Aceh;Kabupaten Aceh Barat Daya;77,67;28.348,09
2023;Aceh;Kabupaten Gayo Lues;41,28;15.068,51
2023;Aceh;Kabupaten Aceh Jaya;48,01;17.525,11
2023;Aceh;Kabupaten Nagan Raya;69,73;25.451,60
2023;Aceh;Kabupaten Aceh Tamiang;122,09;44.561,68
2023;Aceh;Kabupaten Bener Meriah;67,63;24.685,68
2023;Aceh;Kabupaten Pidie Jaya;81,05;29.581,54
2023;Aceh;Kota Banda Aceh;255,81;93.370,54
2023;Aceh;Kota Sabang;17,28;6.308,37
2023;Aceh;Kota Lhokseumawe;98,06;35.793,28
2023;Aceh;Kota Langsa;96,32;35.154,98
2023;Aceh;Kota Subulussalam;57,07;20.831,06
2023;Sumatera Utara;Kabupaten Nias;58,76;21.446,67
2023;Sumatera Utara;Kabupaten Langkat;521,55;190.367,39
2023;Sumatera Utara;Kabupaten Deli Serdang;1.126,61;411.211,01
2023;Sumatera Utara;Kabupaten Simalungun;510,81;186.444,74
2023;Sumatera Utara;Kabupaten Labuhanbatu;366,68;133.837,54
2023;Sumatera Utara;Kabupaten Toba;111,02;40.522,11
2023;Sumatera Utara;Kabupaten Mandailing Natal;193,95;70.791,60
2023;Sumatera Utara;Kabupaten Pakpak Bharat;21,84;7.973,06
2023;Sumatera Utara;Kabupaten Humbang Hasundutan;61,41;22.415,85
2023;Sumatera Utara;Kota Medan;1.768,94;645.661,28
2023;Sumatera Utara;Kota Pematangsiantar;160,73;58.664,63
2023;Sumatera Utara;Kota Sibolga;39,49;14.413,56
2023;Sumatera Utara;Kota Tebing Tinggi;126,39;46.131,55
2023;Sumatera Utara;Kota Padangsidimpuan;165,35;60.353,44
2023;Sumatera Barat;Kabupaten Pesisir Selatan;154,96;56.558,72
2023;Sumatera Barat;Kabupaten Solok;162,28;59.233,95
2023;Sumatera Barat;Kabupaten Sijunjung;99,92;36.471,20
2023;Sumatera Barat;Kabupaten Tanah Datar;129,82;47.382,56
2023;Sumatera Barat;Kabupaten Padang Pariaman;218,06;79.593,54
2023;Sumatera Barat;Kabupaten Agam;219,63;80.163,78
2023;Sumatera Barat;Kabupaten Lima Puluh Kota;156,07;56.964,67
2023;Sumatera Barat;Kabupaten Pasaman;122,97;44.884,05
2023;Sumatera Barat;Kabupaten Dharmasraya;187,61;68.476,63
2023;Sumatera Barat;Kabupaten Solok Selatan;75,46;27.542,75
2023;Sumatera Barat;Kota Padang;647,39;236.296,62
2023;Sumatera Barat;Kota Solok;55,79;20.364,12
2023;Sumatera Barat;Kota Sawahlunto;18,98;6.925,99
2023;Sumatera Barat;Kota Padang Panjang;49,25;17.975,23
2023;Sumatera Barat;Kota Bukittinggi;129,42;47.238,48
2023;Sumatera Barat;Kota Payakumbuh;93,26;34.041,59
2023;Sumatera Barat;Kota Pariaman;39,79;14.524,66
2023;Riau;Kabupaten Indragiri Hulu;185,63;67.755,68
2023;Riau;Kabupaten Bengkalis;260,59;95.114,96
2023;Riau;Kabupaten Rokan Hulu;377,35;137.732,69
2023;Riau;Kabupaten Rokan Hilir;339,39;123.878,45
2023;Riau;Kabupaten Siak;191,02;69.722,30
2023;Riau;Kabupaten Kuantan Singingi;140,71;51.360,76
2023;Riau;Kota Pekanbaru;1.011,01;369.019,82
2023;Riau;Kota Dumai;170,16;62.106,58
2023;Jambi;Kabupaten Bungo;161,68;59.014,11
2023;Jambi;Kabupaten Tebo;143,96;52.546,28
2023;Jambi;Kota Jambi;443,56;161.897,58
2023;Jambi;Kota Sungai Penuh;50,43;18.405,31
2023;Sumatera Selatan;Kabupaten Ogan Komering Ulu;152,00;55.478,83
2023;Sumatera Selatan;Kabupaten Muara Enim;232,80;84.971,42
2023;Sumatera Selatan;Kabupaten Lahat;268,64;98.053,34
2023;Sumatera Selatan;Kabupaten Musi Banyuasin;253,25;92.436,10
2023;Sumatera Selatan;Kabupaten Ogan Komering Ulu Timur;281,12;102.609,82
2023;Sumatera Selatan;Kabupaten Ogan Ilir;175,79;64.162,47
2023;Sumatera Selatan;Kabupaten Penukal Abab Lematang Ilir;104,89;38.283,21
2023;Sumatera Selatan;Kabupaten Musi Rawas Utara;77,80;28.398,02
2023;Sumatera Selatan;Kota Pagar Alam;73,92;26.980,07
2023;Sumatera Selatan;Kota Prabumulih;99,74;36.405,83
2023;Bengkulu;Kabupaten Rejang Lebong;198,54;72.465,68
2023;Bengkulu;Kabupaten Bengkulu Utara;181,12;66.108,44
2023;Bengkulu;Kabupaten Seluma;106,89;39.013,94
2023;Bengkulu;Kabupaten Lebong;83,61;30.516,44
2023;Bengkulu;Kabupaten Bengkulu Tengah;59,91;21.866,06
2023;Bengkulu;Kota Bengkulu;273,00;99.645,77
2023;Lampung;Kabupaten Lampung Selatan;766,57;279.799,58
2023;Lampung;Kabupaten Lampung Tengah;690,00;251.850,93
2023;Lampung;Kabupaten Tulang Bawang;173,43;63.300,93
2023;Lampung;Kabupaten Tanggamus;369,64;134.920,35
2023;Lampung;Kabupaten Lampung Timur;568,72;207.581,71
2023;Lampung;Kabupaten Way Kanan;193,55;70.647,06
2023;Lampung;Kabupaten Pesawaran;194,27;70.907,97
2023;Lampung;Kabupaten Pringsewu;163,37;59.628,59
2023;Lampung;Kabupaten Tulang Bawang Barat;115,85;42.284,52
2023;Lampung;Kabupaten Pesisir Barat;65,93;24.063,14
2023;Lampung;Kota Bandar Lampung;786,46;287.058,27
2023;Lampung;Kota Metro;105,67;38.568,31
2023;Kepulauan Bangka Belitung;Kabupaten Bangka;136,41;49.790,53
2023;Kepulauan Bangka Belitung;Kabupaten Belitung;75,08;27.405,95
2023;Kepulauan Bangka Belitung;Kabupaten Bangka Selatan;84,14;30.710,22
2023;Kepulauan Bangka Belitung;Kabupaten Bangka Tengah;83,85;30.604,52
2023;Kepulauan Bangka Belitung;Kabupaten Bangka Barat;83,92;30.629,49
2023;Kepulauan Bangka Belitung;Kabupaten Belitung Timur;52,52;19.169,36
2023;Kepulauan Riau;Kabupaten Bintan;55,92;20.409,89
2023;Kepulauan Riau;Kabupaten Karimun;182,42;66.583,30
2023;Kepulauan Riau;Kabupaten Natuna;34,87;12.725,80
2023;Kepulauan Riau;Kabupaten Kepulauan Anambas;13,36;4.876,80
2023;Kepulauan Riau;Kota Batam;1.159,05;423.054,13
2023;Kepulauan Riau;Kota Tanjung Pinang;152,65;55.715,79
2023;DKI Jakarta;Kabupaten Adm. Kep. Seribu;18,18;6.634,27
2023;DKI Jakarta;Kota Adm. Jakarta Pusat;852,72;311.242,80
2023;DKI Jakarta;Kota Adm. Jakarta Utara;1.382,36;504.560,46
2023;DKI Jakarta;Kota Adm. Jakarta Barat;2.049,69;748.135,30
2023;DKI Jakarta;Kota Adm. Jakarta Selatan;1.971,13;719.463,79
2023;DKI Jakarta;Kota Adm. Jakarta Timur;2.333,19;851.613,56
2023;Jawa Barat;Kabupaten Bogor;2.813,51;1.026.931,33
2023;Jawa Barat;Kabupaten Cianjur;1.267,50;462.637,87
2023;Jawa Barat;Kabupaten Bandung;1.301,53;475.058,82
2023;Jawa Barat;Kabupaten Garut;1.121,82;409.465,37
2023;Jawa Barat;Kabupaten Tasikmalaya;705,33;257.444,19
2023;Jawa Barat;Kabupaten Ciamis;499,11;182.174,42
2023;Jawa Barat;Kabupaten Kuningan;599,41;218.783,56
2023;Jawa Barat;Kabupaten Cirebon;1.274,64;465.242,92
2023;Jawa Barat;Kabupaten Sumedang;478,92;174.806,09
2023;Jawa Barat;Kabupaten Indramayu;1.124,95;410.606,17
2023;Jawa Barat;Kabupaten Karawang;1.254,92;458.045,62
2023;Jawa Barat;Kabupaten Bekasi;2.219,00;809.935,00
2023;Jawa Barat;Kabupaten Bandung Barat;742,74;271.099,81
2023;Jawa Barat;Kabupaten Pangandaran;176,07;64.265,84
2023;Jawa Barat;Kota Bogor;779,81;284.631,60
2023;Jawa Barat;Kota Sukabumi;184,41;67.308,30
2023;Jawa Barat;Kota Bandung;1.609,77;587.565,25
2023;Jawa Barat;Kota Cirebon;212,84;77.685,26
2023;Jawa Barat;Kota Bekasi;1.747,34;637.778,59
2023;Jawa Barat;Kota Depok;1.265,79;462.011,89
2023;Jawa Barat;Kota Cimahi;230,21;84.025,77
2023;Jawa Barat;Kota Tasikmalaya;323,17;117.955,24
2023;Jawa Barat;Kota Banjar;86,64;31.624,18
2023;Jawa Tengah;Kabupaten Cilacap;954,54;348.406,57
2023;Jawa Tengah;Kabupaten Kebumen;483,19;176.363,85
2023;Jawa Tengah;Kabupaten Purworejo;321,73;117.432,91
2023;Jawa Tengah;Kabupaten Wonosobo;363,87;132.810,94
2023;Jawa Tengah;Kabupaten Magelang;662,38;241.767,97
2023;Jawa Tengah;Kabupaten Boyolali;296,91;108.373,66
2023;Jawa Tengah;Kabupaten Klaten;649,45;237.050,70
2023;Jawa Tengah;Kabupaten Sukoharjo;364,70;133.114,77
2023;Jawa Tengah;Kabupaten Wonogiri;350,68;127.999,02
2023;Jawa Tengah;Kabupaten Karanganyar;380,31;138.814,32
2023;Jawa Tengah;Kabupaten Sragen;595,35;217.301,22
2023;Jawa Tengah;Kabupaten Grobogan;863,15;315.050,32
